"samp_date","site_id","plant_name","arth_Class","arth_order","arth_family","arth_genus_subgenus","individual_count"
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Hexapoda","Homoptera","Membracidae","",1
"1999-05-18 00:00:00","AC161","Larrea tridentata  ","Arachnida","Araneida","Dictynidae","",1
"1999-05-18 00:00:00","AE91","Prosopis velutina  ","Hexapoda","Hymenoptera","","",2
"1999-05-18 00:00:00","AE91","Cercidium floridum  ","Hexapoda","Hemiptera","","",1
"1999-05-18 00:00:00","AE91","Prosopis velutina  ","Hexapoda","Coleoptera","Melyridae","",1
"1999-05-18 00:00:00","AE91","Sphaeralcea  ","Hexapoda","Collembola","","",1
"1999-05-18 00:00:00","AE91","Sphaeralcea  ","Hexapoda","Hymenoptera","","",1
"1999-05-18 00:00:00","AE91","Prosopis velutina  ","Hexapoda","Thysanoptera","","",186
"1999-05-18 00:00:00","AE91","Sphaeralcea  ","Hexapoda","Homoptera","Aleyrodidae"," ",1
"1999-05-18 00:00:00","AE91","Prosopis velutina  ","Hexapoda","Homoptera","Aphididae","",1
"1999-05-18 00:00:00","AE91","Cercidium floridum  ","Hexapoda","Hemiptera","Anthocoridae","",3
"1999-05-18 00:00:00","AE91","Prosopis velutina  ","Hexapoda","Hemiptera","","",1
"1999-05-18 00:00:00","AE91","Cercidium floridum  ","Hexapoda","Homoptera","Psyllidae","",1
"1999-05-18 00:00:00","AE91","Cercidium floridum  ","Hexapoda","Lepidoptera","","",4
"1999-05-18 00:00:00","AE91","Prosopis velutina  ","Hexapoda","Coleoptera","Curculionidae","",3
"1999-05-18 00:00:00","AE91","Sphaeralcea  ","Hexapoda","Thysanoptera","","",2
"1999-05-18 00:00:00","AE91","Prosopis velutina  ","Arachnida","Acari","","",6
"1999-05-18 00:00:00","AE91","Sphaeralcea  ","Hexapoda","Homoptera","Aphididae","",3
"1999-05-18 00:00:00","AE91","Cercidium floridum  ","","Araneae","Thomisidae","",1
"1999-05-18 00:00:00","AE91","Prosopis velutina  ","Hexapoda","Lepidoptera","","",1
"1999-05-18 00:00:00","AE91","Sphaeralcea  ","Hexapoda","Coleoptera","Curculionidae","",1
"1999-05-18 00:00:00","AE91","Prosopis velutina  ","Hexapoda","Homoptera","Psyllidae","",21
"1999-05-18 00:00:00","AE91","Prosopis velutina  ","","Coleoptera","Anthicidae","",1
"1999-05-18 00:00:00","AE91","Prosopis velutina  ","","Araneae","Thomisidae","",2
"1999-05-13 00:00:00","AF141","Acacia  ","Hexapoda","Homoptera","Psyllidae","",4
"1999-05-13 00:00:00","AF141","Acacia  ","","Coleoptera","Cleridae","",1
"1999-05-13 00:00:00","AF141","Cercidium floridum  ","Arachnida","Araneida","Salticidae","",1
"1999-05-13 00:00:00","AF141","Acacia  ","Hexapoda","Coleoptera","Bruchidae","",1
"1999-05-13 00:00:00","AF141","Cercidium floridum  ","Hexapoda","Thysanoptera","","",1
"1999-05-13 00:00:00","AF141","Acacia  ","Arachnida","Araneida","Salticidae","",1
"1999-05-13 00:00:00","AF141","Acacia  ","","Araneae","","",1
"1999-05-13 00:00:00","AF141","Acacia  ","Hexapoda","Thysanoptera","","",33
"1999-05-13 00:00:00","AF141","Acacia  ","","Araneida","Philodromidae","",1
"1999-05-13 00:00:00","AF141","Larrea tridentata  ","Hexapoda","Homoptera","Cicadellidae","",1
"1999-05-13 00:00:00","AF141","Larrea tridentata  ","Hexapoda","Thysanoptera","","",13
"1999-05-13 00:00:00","AF141","Larrea tridentata  ","Hexapoda","Homoptera","Membracidae","",1
"1999-05-13 00:00:00","AF141","Larrea tridentata  ","","Araneida","Philodromidae","",1
"1999-05-13 00:00:00","AF141","Larrea tridentata  ","Hexapoda","Hymenoptera","","",1
"1999-05-21 00:00:00","M171","Solanum  ","Hexapoda","Thysanoptera","","",20
"1999-05-21 00:00:00","M171","Solanum  ","Hexapoda","Homoptera","Aphididae","",1
"1999-05-21 00:00:00","M171","Solanum  ","Arachnida","Acari","","",1
"1999-05-21 00:00:00","M171","Solanum  ","Hexapoda","Hemiptera","Lygaeidae","",16
"1999-05-21 00:00:00","M171","Solanum  ","","Hemiptera","Berytidae","",1
"1999-05-21 00:00:00","M171","Solanum  ","Hexapoda","Homoptera","Cicadellidae","",1
"1999-05-17 00:00:00","R141","Zea mays  ","Hexapoda","Thysanoptera","","",7
"1999-05-17 00:00:00","R141","Zea mays  ","Hexapoda","Homoptera","Aphididae","",1
"1999-05-17 00:00:00","R141","Zea mays  ","Hexapoda","Coleoptera","Coccinellidae","",1
"1999-05-17 00:00:00","R141","Zea mays  ","Hexapoda","Coleoptera","Coccinellidae","",1
"1999-05-17 00:00:00","S161","Thevetia peruviana  ","Hexapoda","Thysanoptera","","",80
"1999-05-17 00:00:00","S161","Eucalyptus  ","Hexapoda","Homoptera","Psyllidae","",1
"1999-05-17 00:00:00","S161","Thevetia peruviana  ","Arachnida","Acari","","",1
"1999-05-17 00:00:00","S161","Eucalyptus  ","Hexapoda","Thysanoptera","","",2
"1999-05-17 00:00:00","S161","Thevetia peruviana  ","Hexapoda","Homoptera","Aphididae","",2
"1999-05-17 00:00:00","T171","Cercidium floridum  ","Hexapoda","Thysanoptera","","",71
"1999-05-17 00:00:00","T171","Cercidium floridum  ","Hexapoda","Hemiptera","Miridae","",9
"1999-05-18 00:00:00","V131","Ulmus parvifolia  ","Hexapoda","Thysanoptera","","",1
"1999-05-18 00:00:00","V131","Ulmus parvifolia  ","Hexapoda","Homoptera","Aphididae","",49
"1999-05-18 00:00:00","V131","Ulmus parvifolia  ","Hexapoda","Coleoptera","Coccinellidae","",1
"1999-05-18 00:00:00","V131","Ulmus parvifolia  ","Hexapoda","Coleoptera","Coccinellidae","",1
"1999-05-18 00:00:00","V131","Ulmus parvifolia  ","Hexapoda","Chrysopidae","Neuroptera","",1
"1999-05-18 00:00:00","V131","Ulmus parvifolia  ","Hexapoda","Homoptera","Aleyrodidae"," ",4
"1999-05-18 00:00:00","V131","Ulmus parvifolia  ","Hexapoda","Thysanoptera","","",7
"1999-05-18 00:00:00","V131","Ulmus parvifolia  ","Hexapoda","Homoptera","Aphididae","",26
"1999-05-14 00:00:00","V181","Baccharis sarothroides  ","Arachnida","Araneida","Dictynidae","",1
"1999-05-14 00:00:00","V181","Salsola tragus  ","Hexapoda","Homoptera","Aphididae","",1
"1999-05-14 00:00:00","V181","Salsola tragus  ","Hexapoda","Thysanoptera","","",56
"1999-05-14 00:00:00","V181","Baccharis sarothroides  ","Hexapoda","Homoptera","Aphididae","",3
"1999-05-14 00:00:00","V181","Baccharis sarothroides  ","Hexapoda","Thysanoptera","","",19
"1999-05-14 00:00:00","W171","Thevetia peruviana  ","Hexapoda","Coleoptera","Nitidulidae","",1
"1999-05-14 00:00:00","W171","Thevetia peruviana  ","Hexapoda","Thysanoptera","","",33
"1999-05-14 00:00:00","W171","Thevetia peruviana  ","Arachnida","Acari","","",3
"1999-05-14 00:00:00","W171","Thevetia peruviana  ","Hexapoda","Hymenoptera","","",1
"1999-05-14 00:00:00","W171","Thevetia peruviana  ","Arachnida","Araneida","Dictynidae","",2
"1999-05-14 00:00:00","W171","Thevetia peruviana  ","Hexapoda","Chrysopidae","Neuroptera","",1
"1999-05-14 00:00:00","W171","Olea europaea  ","Hexapoda","Thysanoptera","","",7
"1999-05-14 00:00:00","W171","Thevetia peruviana  ","Hexapoda","Hemiptera","Miridae","",1
"1999-05-14 00:00:00","W171","Thevetia peruviana  ","Hexapoda","Hemiptera","","",1
"1999-05-14 00:00:00","W171","Thevetia peruviana  ","Hexapoda","Thysanoptera","","",7
"1999-05-14 00:00:00","W171","Thevetia peruviana  ","Arachnida","Acari","","",3
"1999-05-14 00:00:00","W171","Olea europaea  ","Hexapoda","Hymenoptera","Formicidae","",4
"1999-05-21 00:00:00","W91","Prosopis velutina  ","","Homoptera","Coccoidea","",2
"1999-05-21 00:00:00","W91","Prosopis velutina  ","Hexapoda","Thysanoptera","","",9
"1999-05-21 00:00:00","W91","Larrea tridentata  ","Hexapoda","Hemiptera","Miridae","",6
"1999-05-21 00:00:00","W91","Cercidium floridum  ","Hexapoda","Hymenoptera","Formicidae","",1
"1999-05-21 00:00:00","W91","Prosopis velutina  ","Hexapoda","Coleoptera","Curculionidae","",4
"1999-05-21 00:00:00","W91","Prosopis velutina  ","","Araneae","Thomisidae","",1
"1999-05-21 00:00:00","W91","Larrea tridentata  ","Hexapoda","Neuroptera","Chrysopidae","",2
"1999-05-21 00:00:00","W91","Cercidium floridum  ","","Araneida","Philodromidae","",2
"1999-05-21 00:00:00","W91","Cercidium floridum  ","Hexapoda","Hemiptera","Miridae","",10
"1999-05-21 00:00:00","W91","Prosopis velutina  ","Hexapoda","Hymenoptera","Formicidae","",11
"1999-05-21 00:00:00","W91","Larrea tridentata  ","Hexapoda","Homoptera","Psyllidae","",1
"1999-05-21 00:00:00","W91","Cercidium floridum  ","Hexapoda","Coleoptera","Bruchidae","",2
"1999-05-21 00:00:00","W91","Prosopis velutina  ","Hexapoda","Neuroptera","Chrysopidae","",2
"1999-05-21 00:00:00","W91","Prosopis velutina  ","","Araneida","Philodromidae","",1
"1999-05-21 00:00:00","W91","Prosopis velutina  ","Arachnida","Araneida","Salticidae","",1
"1999-05-21 00:00:00","W91","Larrea tridentata  ","Hexapoda","Thysanoptera","","",22
"1999-05-21 00:00:00","W91","Larrea tridentata  ","","Araneae","Thomisidae","",4
"1999-05-21 00:00:00","W91","Larrea tridentata  ","Hexapoda","Hymenoptera","","",1
"1999-05-21 00:00:00","W91","Larrea tridentata  ","","Coleoptera","Cleridae","",1
"1999-05-21 00:00:00","W91","Prosopis velutina  ","Hexapoda","Hemiptera","Miridae","",4
"1999-05-21 00:00:00","W91","Prosopis velutina  ","Hexapoda","Homoptera","Psyllidae","",10
"1999-05-21 00:00:00","W91","Larrea tridentata  ","Arachnida","Acari","","",240
"1999-05-21 00:00:00","W91","Larrea tridentata  ","Hexapoda","Homoptera","Membracidae","",1
"1999-05-21 00:00:00","W91","Cercidium floridum  ","Hexapoda","Thysanoptera","","",40
"1999-05-21 00:00:00","W91","Larrea tridentata  ","Hexapoda","Hymenoptera","Formicidae","",1
"1999-05-21 00:00:00","W91","Cercidium floridum  ","","Araneae","Thomisidae","",1
"1999-05-21 00:00:00","W91","Prosopis velutina  ","Hexapoda","Hemiptera","Anthocoridae","",1
"1999-05-21 00:00:00","W91","Prosopis velutina  ","Arachnida","Acari","","",1
"1999-05-18 00:00:00","X161","Thevetia peruviana  ","Hexapoda","Thysanoptera","","",26
"1999-05-18 00:00:00","X161","Thevetia peruviana  ","Hexapoda","Homoptera","Aphididae","",6
"1999-05-18 00:00:00","X161","Thevetia peruviana  ","Hexapoda","Hymenoptera","Formicidae","",1
"1999-05-18 00:00:00","X161","Carissa grandiflora  ","Hexapoda","Thysanoptera","","",2
"1999-05-18 00:00:00","X161","Thevetia peruviana  ","Hexapoda","Hemiptera","Anthocoridae","",4
"1999-05-18 00:00:00","X161","Carissa grandiflora  ","Hexapoda","Diptera","Chironomidae","",1
"1999-05-14 00:00:00","X191","Ulmus parvifolia  ","Hexapoda","Homoptera","Aphididae","",7
"1999-05-14 00:00:00","X191","Ulmus parvifolia  ","Hexapoda","Thysanoptera","","",123
"1999-05-14 00:00:00","X191","Ulmus parvifolia  ","Hexapoda","Homoptera","Aphididae","",6
"1999-05-14 00:00:00","X191","Ulmus parvifolia  ","Hexapoda","Coleoptera","Coccinellidae","",2
"1999-05-14 00:00:00","X191","Ulmus parvifolia  ","Arachnida","Acari","","",10
"1999-05-14 00:00:00","X191","Ulmus parvifolia  ","Arachnida","Araneida","Dictynidae","",1
"1999-05-14 00:00:00","X191","Ulmus parvifolia  ","Hexapoda","Chrysopidae","Neuroptera","",1
"1999-05-14 00:00:00","X191","Ulmus parvifolia  ","Hexapoda","Thysanoptera","","",12
"1999-05-14 00:00:00","X191","Ulmus parvifolia  ","Arachnida","Acari","","",5
"1999-05-14 00:00:00","X191","Ulmus parvifolia  ","Hexapoda","Homoptera","Aphididae","",2
"1999-05-14 00:00:00","X191","Ulmus parvifolia  ","Hexapoda","Thysanoptera","","",39
"1999-05-14 00:00:00","X191","Ulmus parvifolia  ","Arachnida","Acari","","",3
"2000-05-01 00:00:00","AA111","Hyptis emoryi  ","Hexapoda","Homoptera","Cicadellidae","",8
"2000-05-01 00:00:00","AA111","Hyptis emoryi  ","Hexapoda","Hemiptera","Miridae","",10
"2000-05-01 00:00:00","AA111","Hyptis emoryi  ","","Coleoptera","Anthicidae","",3
"2000-05-01 00:00:00","AA111","Larrea tridentata  ","Hexapoda","Hymenoptera","","",1
"2000-05-01 00:00:00","AA111","Hyptis emoryi  ","Hexapoda","Lepidoptera","","",2
"2000-05-01 00:00:00","AA111","Hyptis emoryi  ","Hexapoda","Coleoptera","Chrysomelidae","",1
"2000-05-01 00:00:00","AA111","Larrea tridentata  ","Hexapoda","Coleoptera","Melyridae","",3
"2000-05-01 00:00:00","AA111","Encelia farinosa  ","Hexapoda","Homoptera","Cicadellidae","",3
"2000-05-01 00:00:00","AA111","Encelia farinosa  ","Hexapoda","Hemiptera","Miridae","",1
"2000-05-01 00:00:00","AA111","Hyptis emoryi  ","","Araneae","Thomisidae","",1
"2000-05-01 00:00:00","AA111","Encelia farinosa  ","Hexapoda","Lepidoptera","","",2
"2000-05-01 00:00:00","AA111","Larrea tridentata  ","Hexapoda","Thysanoptera","","",15
"2000-05-01 00:00:00","AA111","Hyptis emoryi  ","Hexapoda","Hemiptera","Miridae","",1
"2000-05-01 00:00:00","AA111","Hyptis emoryi  ","Hexapoda","Coleoptera","Melyridae","",13
"2000-05-01 00:00:00","AA111","Hyptis emoryi  ","","Lepidoptera","Geometridae","",1
"2000-05-01 00:00:00","AA111","Hyptis emoryi  ","Hexapoda","Thysanoptera","","",39
"2000-05-01 00:00:00","AA111","Hyptis emoryi  ","Hexapoda","Homoptera","Cicadellidae","",1
"2000-05-01 00:00:00","AA111","Hyptis emoryi  ","Hexapoda","Homoptera","Membracidae","",1
"2000-05-01 00:00:00","AA111","Larrea tridentata  ","Hexapoda","Hemiptera","Miridae","",1
"2000-05-01 00:00:00","AA111","Encelia farinosa  ","Hexapoda","Coleoptera","Melyridae","",4
"2000-05-01 00:00:00","AA111","Encelia farinosa  ","Hexapoda","Homoptera","Aphididae","",1
"2000-05-01 00:00:00","AA111","Encelia farinosa  ","Hexapoda","Thysanoptera","","",21
"2000-05-01 00:00:00","AA111","Larrea tridentata  ","Hexapoda","Homoptera","Membracidae","",7
"2000-02-07 00:00:00","AA181","Fraxinus  ","Arachnida","Acari","","",28
"2000-02-07 00:00:00","AA181","Fraxinus  ","Hexapoda","Thysanoptera","","",1
"2000-02-07 00:00:00","AA181","Hibiscus  ","Arachnida","Acari","","",5
"2000-02-07 00:00:00","AA181","Hibiscus  ","Hexapoda","Homoptera","Cicadellidae","",1
"2000-02-07 00:00:00","AA181","Hibiscus  ","Hexapoda","Thysanoptera","","",1
"2000-03-08 00:00:00","AA191","Caesalpinia pulcherrima  ","Hexapoda","Homoptera","Aphididae","",2
"2000-03-08 00:00:00","AA191","Caesalpinia pulcherrima  ","Hexapoda","Homoptera","Psyllidae","",3
"2000-03-08 00:00:00","AA191","Caesalpinia pulcherrima  ","Hexapoda","Homoptera","Cicadellidae","",2
"2000-03-08 00:00:00","AA191","Caesalpinia pulcherrima  ","Hexapoda","Homoptera","Aphididae","",3
"2000-03-08 00:00:00","AA191","Caesalpinia pulcherrima  ","Hexapoda","Homoptera","Psyllidae","",1
"2000-03-08 00:00:00","AA191","Caesalpinia pulcherrima  ","Hexapoda","Homoptera","Aphididae","",2
"2000-03-08 00:00:00","AA191","Caesalpinia pulcherrima  ","Hexapoda","Homoptera","Cicadellidae","",1
"2000-03-08 00:00:00","AA191","Caesalpinia pulcherrima  ","Hexapoda","Diptera","Chironomidae","",1
"2000-03-08 00:00:00","AA191","Caesalpinia pulcherrima  ","Hexapoda","Homoptera","Psyllidae","",1
"2000-03-08 00:00:00","AA191","Caesalpinia pulcherrima  ","","Homoptera","Ciccoidea","",3
"2000-03-08 00:00:00","AA191","Caesalpinia pulcherrima  ","Hexapoda","Homoptera","Cicadellidae","",1
"2000-03-08 00:00:00","AA201","Bougainvillea spectabilis  ","Hexapoda","Homoptera","Aphididae","",48
"2000-03-08 00:00:00","AA201","Juniperus coahuilensis  ","Hexapoda","Thysanoptera","","",4
"2000-03-08 00:00:00","AA201","Bougainvillea spectabilis  ","Hexapoda","Thysanoptera","","",1
"2000-03-08 00:00:00","AA201","Juniperus coahuilensis  ","Arachnida","Acari","","",56
"2000-03-08 00:00:00","AA201","Juniperus coahuilensis  ","Hexapoda","Homoptera","Aphididae","",1
"2000-03-08 00:00:00","AA201","Bougainvillea spectabilis  ","Arachnida","Acari","","",19
"2000-03-08 00:00:00","AA211","Caesalpinia  ","Arachnida","Acari","","",8
"2000-03-08 00:00:00","AA211","Caesalpinia  ","Hexapoda","Homoptera","Aphididae","",1
"2000-03-08 00:00:00","AA211","Euryops viridis","Arachnida","Acari","","",10
"2000-03-08 00:00:00","AA211","Euryops viridis","Hexapoda","Homoptera","Aphididae","",2
"2000-03-08 00:00:00","AA211","Pennisetum setaceum  ","Arachnida","Acari","","",5
"2000-03-08 00:00:00","AA211","Pennisetum setaceum  ","Hexapoda","Homoptera","Aphididae","",1
"2000-05-04 00:00:00","AA91","Simmondsia chinensis  ","Hexapoda","Thysanoptera","","",14
"2000-05-04 00:00:00","AA91","Simmondsia chinensis  ","Arachnida","Acari","","",1
"2000-05-04 00:00:00","AA91","Eriogonum  ","Hexapoda","Homoptera","Aphididae","",10
"2000-05-04 00:00:00","AA91","Simmondsia chinensis  ","","Diptera","Trixoscelididae","",1
"2000-05-04 00:00:00","AA91","Simmondsia chinensis  ","Hexapoda","Thysanoptera","","",37
"2000-05-04 00:00:00","AA91","Eriogonum  ","","Homoptera","Ciccoidea","",1
"2000-05-04 00:00:00","AA91","Simmondsia chinensis  ","Hexapoda","Homoptera","Aphididae","",1
"2000-05-04 00:00:00","AA91","Eriogonum  ","Hexapoda","Thysanoptera","","",8
"2000-05-04 00:00:00","AA91","Simmondsia chinensis  ","","Homoptera","Ciccoidea","",1
"2000-04-20 00:00:00","AB101","Celtis pallida  ","Hexapoda","Homoptera","Aphididae","",2
"2000-04-20 00:00:00","AB101","Sphaeralcea ambigua  ","Hexapoda","Thysanoptera","","",1
"2000-04-20 00:00:00","AB101","Sphaeralcea ambigua  ","Hexapoda","Homoptera","Aphididae","",2
"2000-04-20 00:00:00","AB101","Sphaeralcea ambigua  ","Hexapoda","Thysanoptera","","",2
"2000-04-17 00:00:00","AB111","Simmondsia chinensis  ","Hexapoda","Thysanoptera","","",1
"2000-04-04 00:00:00","AB171","Schinus molle  ","Hexapoda","Thysanoptera","","",3
"2000-04-04 00:00:00","AB171","Ligustrum japonicum  ","Hexapoda","Thysanoptera","","",2
"2000-04-26 00:00:00","AB181","Citrus  ","Hexapoda","Hemiptera","Miridae","",2
"2000-04-26 00:00:00","AB181","Citrus  ","Hexapoda","Hemiptera","Reduviidae","",1
"2000-04-26 00:00:00","AB181","Citrus  ","Arachnida","Acari","","",2
"2000-04-26 00:00:00","AB181","Citrus  ","Hexapoda","Thysanoptera","","",5
"2000-04-26 00:00:00","AB181","Nerium oleander Petite Pink","Hexapoda","Thysanoptera","","",14
"2000-04-26 00:00:00","AB181","Citrus  ","Arachnida","Acari","","",1
"2000-04-26 00:00:00","AB181","Citrus  ","Hexapoda","Thysanoptera","","",8
"2000-04-26 00:00:00","AB181","Nerium oleander Petite Pink","Hexapoda","Homoptera","Aphididae","",3
"2000-04-26 00:00:00","AB181","Nerium oleander Petite Pink","Arachnida","Acari","","",1
"2000-03-08 00:00:00","AB191","Prosopis velutina  ","Hexapoda","Homoptera","Cicadellidae","",2
"2000-03-08 00:00:00","AB191","Schinus  ","Hexapoda","Thysanoptera","","",1
"2000-03-08 00:00:00","AB191","Prosopis velutina  ","Hexapoda","Homoptera","Aphididae","",1
"2000-03-08 00:00:00","AB191","Prosopis velutina  ","Hexapoda","Homoptera","Membracidae","",1
"2000-03-08 00:00:00","AB191","Prosopis velutina  ","Hexapoda","Homoptera","Psyllidae","",2
"2000-03-08 00:00:00","AB191","Schinus  ","","Araneida","Anyphaenidae","",1
"2000-03-08 00:00:00","AB191","Prosopis velutina  ","Hexapoda","Homoptera","Psyllidae","",1
"2000-03-08 00:00:00","AB191","Prosopis velutina  ","Hexapoda","Thysanoptera","","",1
"2000-03-23 00:00:00","AB201","Bougainvillea  ","Hexapoda","Hymenoptera","","",1
"2000-03-23 00:00:00","AB201","Bougainvillea  ","Hexapoda","Hymenoptera","Cynipidae","",1
"2000-03-23 00:00:00","AB201","Nerium oleander Petite Pink","Hexapoda","Thysanoptera","","",1
"2000-03-23 00:00:00","AB211","Sphaeralcea ambigua  ","Hexapoda","Thysanoptera","","",5
"2000-03-23 00:00:00","AB211","Prosopis velutina  ","","Araneae","Thomisidae","",1
"2000-03-23 00:00:00","AB211","Sphaeralcea ambigua  ","Hexapoda","Homoptera","Aphididae","",1
"2000-03-23 00:00:00","AB211","Prosopis velutina  ","Arachnida","Araneida","Dictynidae","",1
"2000-03-23 00:00:00","AB211","Prosopis velutina  ","Hexapoda","Homoptera","Aphididae","",1
"2000-04-17 00:00:00","AC111","Simmondsia chinensis  ","Hexapoda","Thysanoptera","","",16
"2000-04-17 00:00:00","AC111","Ambrosia deltoidea  ","Hexapoda","Homoptera","Cicadellidae","",1
"2000-04-17 00:00:00","AC111","Ambrosia deltoidea  ","Hexapoda","Thysanoptera","","",11
"2000-04-17 00:00:00","AC111","Simmondsia chinensis  ","Hexapoda","Chrysopidae","Neuroptera","",1
"2000-04-17 00:00:00","AC111","Krameria  ","Hexapoda","Thysanoptera","","",2
"2000-04-17 00:00:00","AC111","Simmondsia chinensis  ","Arachnida","Acari","","",2
"2000-04-17 00:00:00","AC111","Ambrosia deltoidea  ","","Homoptera","Ciccoidea","",1
"2000-03-14 00:00:00","AC161","Larrea tridentata  ","Arachnida","Acari","","",12
"2000-03-14 00:00:00","AC161","Ambrosia deltoidea  ","Hexapoda","Thysanoptera","","",2
"2000-03-14 00:00:00","AC161","Larrea tridentata  ","Hexapoda","Homoptera","Psyllidae","",1
"2000-03-14 00:00:00","AC181","Citrus  ","","Homoptera","Ciccoidea","",1
"2000-03-14 00:00:00","AC181","Citrus  ","Hexapoda","Homoptera","Membracidae","",1
"2000-03-14 00:00:00","AC181","Citrus  ","Hexapoda","Lepidoptera","","",1
"2000-03-14 00:00:00","AC181","Citrus  ","Hexapoda","Homoptera","Membracidae","",1
"2000-03-02 00:00:00","AC71","Cercidium microphyllum  ","Hexapoda","Homoptera","Psyllidae","",2
"2000-03-02 00:00:00","AC71","Simmondsia chinensis  ","Hexapoda","Hemiptera","","",1
"2000-05-12 00:00:00","AD101","Ambrosia deltoidea  ","Hexapoda","Homoptera","Membracidae","",1
"2000-05-12 00:00:00","AD101","Larrea tridentata  ","","Lepidoptera","Geometridae","",3
"2000-05-12 00:00:00","AD101","Larrea tridentata  ","Hexapoda","Thysanoptera","","",4
"2000-05-12 00:00:00","AD101","Simmondsia chinensis  ","","Lepidoptera","Geometridae","",2
"2000-05-12 00:00:00","AD101","Simmondsia chinensis  ","Hexapoda","Thysanoptera","","",1
"2000-05-12 00:00:00","AD101","Ambrosia deltoidea  ","Hexapoda","Thysanoptera","","",6
"2000-05-12 00:00:00","AD101","Ambrosia deltoidea  ","","Homoptera","Ciccoidea","",3
"2000-05-12 00:00:00","AD101","Larrea tridentata  ","Arachnida","Acari","","",1
"2000-05-12 00:00:00","AD101","Larrea tridentata  ","Hexapoda","Hemiptera","Miridae","",1
"2000-05-12 00:00:00","AD101","Ambrosia deltoidea  ","Hexapoda","Homoptera","Cicadellidae","",1
"2000-04-04 00:00:00","AD171","Nerium oleander Petite Pink","Hexapoda","Homoptera","Aphididae","",9
"2000-04-04 00:00:00","AD171","Nerium oleander Petite Pink","Hexapoda","Thysanoptera","","",6
"2000-04-04 00:00:00","AD171","Nerium oleander Petite Pink","Hexapoda","Homoptera","Aphididae","",10
"2000-04-04 00:00:00","AD171","Nerium oleander Petite Pink","Hexapoda","Thysanoptera","","",10
"2000-04-04 00:00:00","AD171","Melia azedarach  ","Hexapoda","Homoptera","Aphididae","",2
"2000-04-04 00:00:00","AD171","Melia azedarach  ","Hexapoda","Thysanoptera","","",1
"2000-02-29 00:00:00","AD181","Brachychiton  ","Arachnida","Acari","","",5
"2000-02-29 00:00:00","AD181","Brachychiton  ","Hexapoda","Homoptera","","",2
"2000-04-06 00:00:00","AD191","Jacaranda  ","Hexapoda","Homoptera","Aphididae","",1
"2000-04-06 00:00:00","AD191","Leucophyllum  ","Hexapoda","Homoptera","Cicadellidae","",1
"2000-04-06 00:00:00","AD191","Jacaranda  ","Arachnida","Acari","","",2
"2000-04-06 00:00:00","AD191","Leucophyllum  ","Arachnida","Acari","","",113
"2000-04-06 00:00:00","AD191","Brachychiton  ","Arachnida","Acari","","",26
